2016-06-08 00:00:00,Unnamed: 1,2016-10-20 00:00:00,Unnamed: 3,2017-05-11 00:00:00,Unnamed: 5,2017-09-05 00:00:00,Unnamed: 7,2018-09-13 00:00:00,Unnamed: 9,2019-04-13 00:00:00,Unnamed: 11,2019-10-15 00:00:00,Unnamed: 13,2020-03-19 00:00:00,Unnamed: 15,2021-03-14 00:00:00,Unnamed: 17
起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m),起点距离(m),河底高程(m)
0,47.754999999999995,0,47.754999999999995,0,47.754999999999995,0,47.754999999999995,0,53.576,0,53.636,0,52.78,0,53.65,0,53.65
14,50.905,16,51.655,23,53.605,23,53.605,15,53.566,8.7,53.656000000000006,3,53.56,17,53.73,17,53.73
22,50.925,40,51.335,33,53.614999999999995,33,53.614999999999995,20,52.106,18.3,53.566,13,53.54,20,53.04,20,53.04
42,45.315,62,45.385,61,45.535,61,45.535,25,49.806000000000004,42.1,45.646,21,49.99,43,45.55,43,45.55
84,45.345,89,45.605,77,45.464999999999996,77,45.464999999999996,29,47.716,152,44.506,29,49.95,121,44.46,121,44.46
107,47.205,108,47.265,100,46.345,100,46.345,48,45.256,255,44.786,30,50,152,44.51,152,44.51
140,46.364999999999995,138,47.065,111,47.305,111,47.305,250,44.906000000000006,308,44.726000000000006,36,46.07,255,44.87,255,44.87
150,44.265,145,44.835,138,47.065,138,47.065,350,44.646,375,44.906000000000006,120,44.53,309,44.76,309,44.76
200,44.184999999999995,200,43.995,150,44.205,150,44.205,450,45.336000000000006,452,45.236000000000004,180,44.45,430,45.13,430,45.13
250,44.135,300,44.515,200,44.375,200,44.375,590,45.586000000000006,488,45.416000000000004,260,44.59,451,45.25,451,45.25
253,44.845,400,45.254999999999995,300,44.535,300,44.535,686,45.476000000000006,490,43.926,341,44.68,456,43.41,456,43.41
300,45.055,500,45.254999999999995,400,45.044999999999995,400,45.044999999999995,871,45.756,521,44.246,436,44.88,526,44.32,526,44.32
400,45.205,600,45.285,421,45.305,421,45.305,996,45.636,581,44.29600000000001,437,44.07,573,44.34,573,44.34
500,45.205,700,45.275,500,45.464999999999996,500,45.464999999999996,1043,45.976000000000006,649,44.226000000000006,481,44.03,680,44.39,680,44.39
600,45.275,800,45.445,600,45.455,600,45.455,1150,45.526,724,44.54600000000001,483,45.35,840,44.63,840,44.63
700,45.205,900,45.605,700,45.455,700,45.455,1183,45.79600000000001,795,44.36600000000001,500,45.41,842,44.27,842,44.27
732,45.464999999999996,950,45.595,800,45.595,800,45.595,1287,45.746,842,44.396,580,45.46,905,44.64,905,44.64
900,45.485,966,45.445,900,45.695,900,45.695,1369,46.246,904,44.576,583,44.16,967,44.3,967,44.3
1000,45.605,974,45.964999999999996,950,45.644999999999996,950,45.644999999999996,1424,46.986000000000004,966,44.236000000000004,610,44.14,979,46.34,979,46.34
1100,44.925,978,45.275,1000,45.205,1000,45.205,1480,47.226000000000006,980,46.356,710,44.31,1007,46.2,1007,46.2
1200,45.335,1063,45.515,1100,45.004999999999995,1100,45.004999999999995,1485,47.246,1008,46.186,810,44.24,1025,45.61,1025,45.61
1300,45.335,1146,45.205,1200,45.495,1200,45.495,1487,48.326,1053,45.676,910,44.27,1053,45.66,1053,45.66
1357,45.495,1225,45.565,1300,46.044999999999995,1300,46.044999999999995,1585,48.036,1102,45.676,1000,44.25,1073,45.73,1073,45.73
1440,45.445,1295,45.485,1303,45.535,1303,45.535,1589,46.826,1144,45.706,1070,44.74,1075,44.49,1075,44.49
1443,44.355,1357,45.785,1339,46.085,1339,46.085,1597,45.976000000000006,1208,45.926,1141,45.71,1109,44.41,1109,44.41
